address_id,address,city,postal_code,longitude,latitude
83,830 RTE DE VELLERON,MONTEUX,84170,4.9968733,44.0349281
84,1 RUE LUCIEN PIRON,ROSNY-SOUS-BOIS,93110,2.4875193,48.8716626
85,2 RTE DE LA MAIRIE,BERNEX,74500,6.6753169,46.3607868
86,123 AV DU GENERAL DE GAULLE,CHAMPIGNY-SUR-MARNE,94500,2.5107384,48.8137759
87,61 RUE JEAN MACE,BREST,29200,-4.4860088,48.3905283
88,7188 PL DE L'HOTEL DE VILLE,CHATEAUBOURG,35220,-1.3982411,48.1108554
89,23 RUE CLEMENCEAU,PONT A MOUSSON,54700,6.0547691,48.9025946
90,9 RUE DU CHARDONNAY,CAZOULS-LES-BEZIERS,34370,3.1013558,43.3918541
91,538 RUE DES SOURCES,SERMAISE,91530,-0.2122933,47.5251223
92,34 RUE DU QUATRE SEPTEMBRE,VALENCE,26000,-0.3763353,39.4697065
93,9001 VC RES LES RIVES DE DEAUVILLE,SAINT-ARNOULT,14800,1.819535,49.6320869
94,50 RUE DE L'AIGLON,WIMILLE,62126,1.6303277,50.7641091
95,5 RUE DU GROS MURGER,MAISONS-LAFFITTE,78600,2.1450951,48.9461437
96,1 MTE DE LA CROIX,LAIVES,71240,4.8467143,46.6452774
97,12 RUE LYDERIC,LILLE,59800,3.0635282,50.6365654
98,1270 RPE D ARDON,LAON,2000,3.620686,49.564665
99,4 RUE JEAN BACHELET,NEUILLY-PLAISANCE,93360,2.5060144,48.8608712
100,279 CHE DE LA FLACHE,FONTENAILLES,77370,2.953889,48.555306
103,5036 IMP DU RINQUANA,BISSY-SUR-FLEY,71460,4.6208765,46.6631688
104,33 RUE DU GEN DE GAULLE,L'AIGLE,61300,0.6278039,48.7651713
105,24 CHE JEAN POMIER,NARBONNE,11100,3.0042121,43.1837661
106,2 RUE DES THUYAS,VOULTON,77560,3.3342597,48.6175233
107,17 RUE MARIUS DELPECH,SARCELLES,95200,2.3796245,48.9960813
108,5787 CHE DE L'ESQUILLON,BEAUVOISIN,30640,4.3233989,43.7189318
109,46 BD DU GENERAL DE GAULLE,HENDAYE,64700,-1.7616499,43.3641518
110,16 PL VAUBAN,AVALLON,89200,3.9070658,47.4885365
111,713 AV DE PROVENCE,FREJUS,83600,6.7360182,43.4330308
112,13 RUE NATIONALE,CAMPENEAC,56800,-2.2924529,47.9586458
113,17 RUE DE VILLENEUVE,LES MOUTIERS-EN-RETZ,44760,-2.0009009,47.0628755
114,9 IMP DU CERS,LIMOUX,11300,2.2176533,43.0538068
115,20 RUE CHARLES LATERRADE,TALENCE,33400,-0.5879629,44.8088438
116,16 RTE DU MONT DORE LA GARANDIE,AYDAT,63970,2.9757079,45.6609027
117,40 CHE DU BOURGEON,LEGE-CAP-FERRET,33950,-1.1472098,44.7951052
